Rank,Song,Artist,Year,Lyrics_List
1,bridge over troubled water,simon  garfunkel,1970,"youre,weary,feeling,small,tears,eyes,dry,im,side,oh,times,get,rough,friends,cant,found,like,bridge,troubled,water,lay,like,bridge,troubled,water,lay,youre,youre,street,evening,falls,hard,comfort,ill,take,part,oh,darkness,comes,pain,around,like,bridge,troubled,water,lay,like,bridge,troubled,water,lay,sail,silver,girl,sail,time,come,shine,dreams,way,see,shine,oh,need,friend,im,sailing,right,behind,like,bridge,troubled,water,ease,mind,like,bridge,troubled,water,ease,mind"
2,they long to be close to you,the carpenters,1970,"close,youwhy,birds,suddenly,appear,every,time,near,like,long,close,youwhy,stars,fall,sky,every,time,walk,like,long,close,youon,day,born,angels,got,together,decided,create,dream,come,true,sprinkled,moon,dust,hair,gold,starlight,eyes,blueand,girls,town,follow,around,like,long,close,youon,day,born,angels,got,together,decided,create,dream,come,true,sprinkled,moon,dust,hair,gold,starlight,eyes,blueand,kids,town,follow,around,like,long,close,youand,like,long,close,youclose,close"
3,american woman,the guess who,1970,"umm,taa,taana,umm,taa,taana,umm,umm,taa,taana,american,woman,gonna,mess,mind,american,woman,gonna,mess,mind,umm,american,woman,gonna,mess,mind,umh,american,woman,gonna,mess,mind,say,say,umm,say,e,say,r,say,say,c,say,n,umm,american,woman,gonna,mess,mind,umm,american,woman,gonna,mess,mind,umh,american,woman,gonna,mess,mind,uuh,american,woman,stay,away,american,woman,mama,let,dont,come,hangin,around,door,dont,wanna,see,face,got,important,things,spend,time,growin,old,woman,said,stay,away,american,woman,listen,say,american,woman,get,away,american,woman,mama,let,dont,come,knockin,around,door,dont,wanna,see,shadow,colored,lights,hypnotize,sparkle,someone,elses,eyes,woman,said,get,away,american,woman,listen,say,hey,hey,american,woman,said,get,away,american,woman,listen,say,dont,come,hangin,around,door,dont,wanna,see,face,dont,need,war,machines,dont,need,ghetto,scenes,colored,lights,hypnotize,sparkle,someone,elses,eyes,woman,get,away,american,woman,mama,let,go,gotta,get,away,gotta,get,away,go,go,go,im,gonna,leave,woman,gonna,leave,woman,bye,bye,bye,bye,bye,bye,bye,bye,youre,good,im,good,gonna,look,right,eye,tell,im,gonna,know,im,gonna,leave,know,im,gonna,go,know,im,gonna,leave,know,im,gonna,go,woman,im,gonna,leave,woman,goodbye,american,woman"
4,raindrops keep fallin on my head,bj thomas,1970,"raindrops,falling,head,like,guy,whose,feet,big,bed,nothing,seems,fit,raindrops,falling,head,keep,fallingso,talking,sun,said,didnt,like,way,got,things,done,sleeping,job,raindrops,falling,head,keep,fallinbut,theres,one,thing,know,blues,send,meet,wont,defeat,wont,long,till,happiness,steps,greet,meraindrops,keep,falling,head,doesnt,mean,eyes,soon,turning,red,cryings,cause,im,never,gonna,stop,rain,complaining,im,free,nothings,worrying,meit,wont,long,till,happiness,steps,greet,meraindrops,keep,falling,head,doesnt,mean,eyes,soon,turning,red,cryings,cause,im,never,gonna,stop,rain,complaining,im,free,cause,nothings,worrying"
5,war,edwin starr,1970,"war,huh,yeah,good,absolutely,nothing,oh,hoh,oh,war,huh,yeah,good,absolutely,nothing,say,yall,war,huh,good,god,good,absolutely,nothing,listen,meoh,war,despise,cause,means,destruction,innocent,lives,war,means,tears,thousands,mothers,eyes,sons,go,fight,lose,livesi,said,war,huh,good,god,yall,good,absolutely,nothing,say,war,whoa,lord,good,absolutely,nothing,listen,war,aint,nothin,heartbreak,war,friend,undertakeroh,war,enemy,mankind,thought,war,blows,mind,war,caused,unrest,within,younger,generation,induction,destruction,wants,diewar,good,god,yall,good,absolutely,nothing,say,say,say,war,uh,huh,yeah,huh,good,absolutely,nothing,listen,war,aint,nothin,heartbreaker,war,got,one,friend,thats,undertakeroh,war,shattered,many,young,mans,dreams,made,disabled,bitter,mean,life,much,short,precious,spend,fighting,wars,days,war,cant,give,life,take,away,oohwar,huh,good,god,yall,good,absolutely,nothing,say,war,whoa,lord,good,absolutely,nothing,listen,war,aint,nothin,heartbreaker,war,friend,undertakerpeace,love,understanding,tell,place,today,say,must,fight,keep,freedom,lord,knows,theres,got,better,waywar,huh,good,god,yall,good,tell,em,say,say,say,say,war,good,lord,huh,good,stand,shout,nothing,war,aint,nothin,heartbreaker"
6,aint no mountain high enough,diana ross,1970,"need,call,matter,matter,far,call,name,ill,hurry,depend,never,worryno,wind,rain,wind,rain,winters,cold,stop,babe,baby,oh,babe,baby,youre,goaloh,wind,rain,wind,rain,stop,babe,wanna,goi,know,know,must,follow,sun,wherever,leads,remember,fall,short,desires,remember,life,holds,one,guarantee,youll,always,meand,miss,love,one,old,days,ever,miss,arms,used,hold,close,lips,used,touch,tenderly,remember,told,day,set,freeaint,mountain,high,enough,aint,valley,low,enough,aint,river,wild,enough,keep,youaint,mountain,high,enough,aint,valley,low,enough,say,aint,river,wild,enough,keep,youaint,mountain,high,enough,nothing,keep,keep,youaint,mountain,high,enough,aint,valley,low,enough,one,time,aint,river,wild,enough,say,keep,youaint,mountain,high,enough,nothing,keep,keep,getting,babe"
8,get ready,rare earth,1970,"never,met,girl,could,make,feel,way,youre,right,whenever,im,asked,makes,dreams,real,tell,em,youre,outta,sight,well,tweedle,dee,tweedle,dum,look,baby,cause,comeim,bringin,love,thats,true,get,ready,get,ready,get,ready,ill,stop,makin,love,get,ready,get,ready,get,readyohh,dont,know,im,comin,get,ready,cause,come,way,get,ready,cause,comeyou,wanna,play,hide,seek,love,let,remind,ya,youre,right,lovin,youre,gonna,miss,time,takes,find,ya,youre,outta,sight,well,fe,fi,fo,fo,fum,look,baby,comeim,bringin,love,thats,true,aw,get,ready,oh,get,ready,get,ready,ill,stop,makin,love,get,ready,get,ready,get,readydont,know,im,comin,get,ready,cause,come,way,get,ready,cause,comeif,friends,shouldnt,want,think,ill,understand,youre,alright,hope,get,cause,thats,planned,youre,outta,sight,well,tweedley,dee,tweedley,dum,look,baby,comeim,bringin,love,thats,true,get,ready,get,ready,get,ready,ill,stop,makin,love,get,ready,get,ready,get,readyaw,dont,know,im,comin,get,ready,cause,come,way,get,ready,cause,comeget,ready,cause,come,get,ready,cause,come,get,ready,get,ready,cause,come,get,ready,get,ready,cause,come"
9,let it be,the beatles,1970,"find,times,trouble,mother,mary,comes,speaking,words,wisdom,let,hour,darkness,standing,right,front,speaking,words,wisdom,let,let,let,let,let,whisper,words,wisdom,let,beand,broken,hearted,people,living,world,agree,answer,let,though,may,parted,still,chance,see,answer,let,let,let,let,let,answer,let,let,let,let,let,whisper,words,wisdom,let,let,let,let,let,whisper,words,wisdom,let,beand,night,cloudy,still,light,shines,shine,tomorrow,let,wake,sound,music,mother,mary,comes,speaking,words,wisdom,let,let,let,let,yeah,let,answer,let,let,let,let,yeah,let,whisper,words,wisdom,let"
10,band of gold,freda payne,1970,"youre,gone,thats,left,band,gold,thats,left,dreams,hold,band,gold,memories,love,could,still,meyou,took,shelter,mother,never,known,loved,kissed,taking,vows,night,honeymoon,stayed,separate,roomsi,wait,darkness,lonely,room,filled,sadness,filled,gloom,hoping,soon,youll,walk,back,door,love,like,tried,beforesince,youve,gone,thats,left,band,gold,thats,left,dreams,hold,band,gold,dream,love,could,still,meohhhdont,know,wait,darkness,lonely,room,filled,sadness,filled,gloom,hoping,soon,youll,walk,back,door,love,like,tried,beforesince,youve,gone,thats,left,band,gold,thats,left,dreams,hold,band,gold,dream,love,could,still,mesince,youve,gone,thats,left,band,gold,thats,left,dreams,hold,band,gold,dream,love,could,still"
11,mama told me not to come,three dog night,1970,"want,whiskey,water,sugar,tea,whats,crazy,questions,youre,askin,craziest,party,could,ever,dont,turn,lights,cause,dont,wanna,seemama,told,come,oh,lord,mama,told,come,aint,way,fun,noopen,window,let,air,room,think,im,almost,chokin,smell,stale,perfume,cigarette,youre,smokin,bout,scare,half,death,open,window,sucker,let,catch,breathmama,told,come,mama,told,come,say,uh,aint,way,fun,son,aint,way,fun,sonthe,radio,blastin,someones,knockin,door,im,lookin,girlfriend,shes,passed,floor,seen,many,things,aint,never,seen,dont,know,dont,wanna,see,moremama,told,come,oh,lord,mama,told,come,said,aint,way,fun,son,aint,way,fun,nomama,told,mama,told,mama,told,told,told,mama,told,told,ooh,yeah,yeah,mama,told,go,mama,told,mama,told,aint,truththat,aint,way,fun,aint,way,fun,son,aint,way,fun,aint,way,fun,sonthat,aint,way,fun,aint,way,fun,son,aint,way,fun,aint,way,fun,son"
12,everything is beautiful,ray stevens,1970,"jesus,loves,little,children,children,world,whether,yellow,black,white,precious,sight,jesus,loves,little,children,worldeverything,beautiful,way,like,starry,summer,night,snow,covered,winters,day,everybodys,beautiful,way,gods,heaven,worlds,gonna,find,waythere,none,blind,see,must,close,minds,must,let,thoughts,freefor,every,hour,passes,know,world,gets,little,bit,older,time,realize,beauty,lies,eyes,beholderand,everything,beautiful,way,like,starry,summer,night,snow,covered,winters,day,everybodys,beautiful,way,gods,heaven,worlds,gonna,find,waywe,shouldnt,care,length,hair,color,skin,dont,worry,shows,without,love,lives,withinand,gonna,get,together,everythings,gonna,work,fine,take,little,time,look,good,side,friend,straighten,mindand,everything,beautiful,way,like,starry,summer,night,snow,covered,winters,day,everybodys,beautiful,way,gods,heaven,worlds,gonna,find,wayand,everything,beautiful,way,like,starry,summer,night,snow,covered,winters,day"
13,make it with you,bread,1970,"hey,ever,tried,really,reaching,side,may,climbing,rainbows,baby,goesdreams,sleep,life,us,keep,youre,wondering,song,leading,want,make,youi,really,think,could,make,girlthough,dont,know,well,every,little,thing,time,tell,believe,things,well,see,throughlife,short,long,love,right,wrong,chose,one,id,like,help,id,like,make,youi,really,think,could,make,girlbaby,know,dreams,sleep,life,us,keep,chose,one,id,like,help,id,like,make,youi,really,think,could,make,girl"
14,hitchin a ride,vanity fare,1970,"thumb,goes,car,goes,nearly,1,hitchin,ride,hitchin,ride,gotta,get,home,morning,lighti,got,fare,ride,train,im,nearly,drownin,pouring,rain,hitchin,ride,hitchin,ride,gotta,get,home,babys,sideride,ride,ride,hitchin,ride,ride,ride,ride,hitchin,ridelong,distance,call,got,today,sounded,lonely,im,way,hitchin,ride,hitchin,ride,gotta,get,home,keep,satisfiedride,ride,ride,hitchin,ride,ride,ride,ride,hitchin,ridea,thumb,goes,car,goes,oh,wont,somebody,stop,help,guy,hitchin,ride,hitchin,ride,away,long,babys,sideride,ride,ride,hitchin,ride,ride,ride,ride,hitchin,rideride,ride,ride,hitchin,ride,ride,ride,ride,hitchin,rideride,ride,ride,ride,ride,ride,ride,ride,ride,ride"
15,abc,the jackson 5,1970,"went,school,learn,girl,things,never,never,knew,e,except,c,two,plus,two,makes,four,im,gonna,teach,teach,teach,love,dear,love,sit,take,seat,gotta,repeat,b,c,easy,one,two,three,simple,mi,b,c,one,two,three,baby,girl,b,c,easy,one,two,three,simple,mi,b,c,one,two,three,baby,girl,come,let,love,little,bit,come,let,love,little,bit,im,gonna,teach,sing,come,come,one,come,let,show,reading,writing,arithmetic,branches,learning,tree,listen,without,roots,love,every,day,girl,education,aint,complete,tttteachers,gonna,show,show,show,get,spell,add,two,listen,baby,thats,gotta,b,c,easy,one,two,three,simple,mi,b,c,one,two,three,baby,girl,b,c,easy,like,counting,three,sing,simple,melody,thats,easy,love,thats,easy,love,sing,simple,melody,one,two,three,sit,girl,think,love,get,girl,show,shake,shake,baby,come,shake,shake,baby,ooh,shake,shake,baby,one,two,three,baby,oo,oo,b,c,baby,mi,baby,thats,easy,love,b,c,easy,like,counting,three,sing,simple,melody,thats,easy,love,im,gonna,teach,sing,come,come,come,let,show,b,c,easy,like,counting,three,sing,simple,melody,thats,easy,love,im,gonna,teach,sing,sing,sing,sing,b,c,easy,like,counting,three,sing,simple,melody,thats,easy,love"
16,the love you save,the jackson 5,1970,"stop,na,na,na,youd,better,save,stop,stop,stop,youd,better,save,played,tag,grade,school,wanted,chasin,boys,fad,crossed,heart,quit,grew,traded,promise,ring,like,back,grade,school,youre,doin,old,thing,stop,love,save,may,darlin,take,slow,day,youll,alone,youd,better,stop,love,save,may,darlin,look,ways,cross,youre,headed,danger,zone,im,one,loves,im,one,need,guys,put,soon,succeed,theyll,ruin,reputation,theyll,label,flirt,way,talk,theyll,turn,name,dirt,oh,isaac,said,kissed,beneath,apple,tree,benjie,held,hand,felt,electricity,alexander,called,said,rang,chimes,christopher,discovered,youre,way,ahead,times,stop,love,save,may,darlin,take,slow,day,youll,alone,youd,better,stop,love,save,may,darlin,look,ways,cross,youre,headed,danger,zone,slow,slow,slow,slow,save,take,slow,oh,p,please,please,dont,go,love,save,may,day,may,alone,stop,save,girl,baby,ooo,better,stop,love,save,may,please,please,day,day,baby,youll,alone,im,one,loves,im,one,need,guys,put,soon,succeed,oh,stop,love,save,may,baby,youd,better,stop,stop,stop,girl,someday,youll,alone,way,talk,theyll,turn,name,turn,name,dirt,stop,love,save,may,dont,know,dont,know,day,baby,youll,alone,guys,put,soon,succeed,stop,love,save,may"
